"fly_id","plot","genotype_alt","genotype_gig","host_race","plant_choice"
"s_30",26,"G17","G11","Alt","Alt"
"s_17",56,"G8","G10","Alt","Alt"
"s_59",15,"G16","G9","Alt","Alt"
"s_61",19,"G6","G7","Alt","Gig"
"s_48",32,"G2","G9","Alt","Alt"
"s_43",39,"G15","G7","Alt","Alt"
"s_39",72,"G3","G1","Alt","Alt"
"s_6",25,"G7","G4","Alt","Alt"
"s_58",50,"G7","G14","Alt","Alt"
"s_55",20,"G9","G11","Alt","Alt"
"s_56",71,"G8","G3","Alt","Alt"
"s_14",58,"G9","G17","Alt","Gig"
"s_69",60,"G1","G9","Alt","Alt"
"s_18",69,"G3","G7","Alt","Alt"
"s_32",11,"G18","G18","Alt","Alt"
"s_35",6,"G14","G5","Alt","Alt"
"s_19",70,"G9","G15","Alt","Alt"
"s_21",4,"G16","G13","Alt","Alt"
"s_16",36,"G2","G12","Alt","Alt"
"s_38",27,"G17","G11","Alt","Alt"
"s_3",53,"G17","G16","Alt","Alt"
"s_70",38,"G7","G17","Alt","Alt"
"s_64",29,"G8","G4","Alt","Alt"
"s_40",7,"G2","G15","Alt","Alt"
"s_51",41,"G18","G13","Alt","Alt"
"s_9",51,"G4","G8","Alt","Alt"
"s_11",64,"G9","G16","Alt","Alt"
"s_26",31,"G13","G8","Alt","Alt"
"s_22",62,"G12","G14","Alt","Alt"
"s_71",61,"G11","G1","Alt","Alt"
"s_68",65,"G4","G14","Alt","Alt"
"s_2",8,"G1","G17","Alt","Alt"
"s_27",44,"G10","G5","Alt","Gig"
"s_66",21,"G5","G8","Gig","Gig"
"s_1",66,"G7","G18","Gig","Gig"
"s_23",67,"G14","G15","Gig","Gig"
"s_45",16,"G14","G3","Gig","Gig"
"s_44",42,"G13","G13","Gig","Gig"
"s_33",52,"G10","G11","Gig","Gig"
"s_50",49,"G6","G16","Gig","Gig"
"s_41",17,"G1","G15","Gig","Gig"
"s_20",14,"G13","G1","Gig","Gig"
"s_47",34,"G18","G9","Gig","Gig"
"s_36",33,"G11","G10","Gig","Alt"
"s_7",24,"G12","G13","Gig","Gig"
"s_72",35,"G13","G5","Gig","Gig"
"s_13",59,"G5","G2","Gig","Gig"
"s_42",13,"G10","G8","Gig","Gig"
"s_34",22,"G16","G3","Gig","Gig"
"s_5",57,"G4","G3","Gig","Gig"
"s_53",5,"G18","G18","Gig","Gig"
"s_15",1,"G3","G6","Gig","Gig"
"s_10",63,"G12","G6","Gig","Gig"
"s_24",30,"G5","G14","Gig","Gig"
"s_31",2,"G17","G17","Gig","Gig"
"s_4",37,"G6","G2","Gig","Gig"
"s_46",9,"G14","G16","Gig","Gig"
"s_57",46,"G15","G5","Gig","Gig"
"s_62",28,"G2","G10","Gig","Gig"
"s_60",43,"G6","G12","Gig","Gig"
"s_8",54,"G1","G10","Gig","Gig"
"s_37",55,"G8","G7","Gig","Gig"
"s_67",23,"G10","G6","Gig","Gig"
"s_52",12,"G3","G6","Gig","Gig"
"s_65",3,"G15","G12","Gig","Gig"
